City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Rikitea,PF,78.1,clear sky,-23.1203,-134.9692,People ThankYou
10,Puerto Ayora,EC,75.0,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Banfora,BF,78.57,broken clouds,10.6333,-4.7667,Residences David Hebié
21,Labuhan,ID,88.93,overcast clouds,-6.8844,112.2051,DoubleFAG
28,Bandarbeyla,SO,86.83,broken clouds,9.4942,50.8122,JABIR HOTEL
34,Port Blair,IN,87.84,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
40,Dutse,NG,83.37,overcast clouds,11.7594,9.3392,Central Mosque Galamawa
47,Vaini,TO,80.04,scattered clouds,-21.2,-175.2,Keleti Beach Resort
49,Kapaa,US,76.98,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
51,Buraydah,SA,77.68,clear sky,26.326,43.975,Mövenpick Qassim
54,Butaritari,KI,81.77,broken clouds,3.0707,172.7902,Isles Sunset Lodge
55,Vanimo,PG,85.15,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
61,Carnarvon,AU,82.47,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
67,Acapulco,MX,75.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
70,Victoria,HK,77.38,broken clouds,22.2855,114.1577,Mini Hotel Central
81,Cockburn Town,TC,77.11,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
85,Gold Coast,AU,75.0,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
86,Moerai,PF,80.06,few clouds,-22.4333,-151.3333,Le Manotel
87,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
88,Gigmoto,PH,83.03,broken clouds,13.7796,124.39,Cj's Travellers Inn
89,Mahebourg,MU,81.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
108,Calabozo,VE,82.94,broken clouds,8.9242,-67.4293,Hotel Giardini
110,Koumac,NC,77.52,scattered clouds,-20.5667,164.2833,Le Monitel
112,Saint-Philippe,RE,82.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
114,Carutapera,BR,75.6,moderate rain,-1.195,-46.02,Lidera
125,Atuona,PF,79.14,light rain,-9.8,-139.0333,Villa Enata
142,Dingle,PH,86.11,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
148,Barkhan,PK,87.15,clear sky,29.8977,69.5256,Sardar
149,Brownwood,US,76.32,broken clouds,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
150,Kavaratti,IN,84.36,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
151,Gizo,SB,83.37,light rain,-8.103,156.8419,Imagination Island
152,Amahai,ID,86.52,broken clouds,-3.3333,128.9167,HOTEL ISABELA
162,Porto Nacional,BR,75.2,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
172,Jeremie,HT,75.76,broken clouds,18.65,-74.1167,Auberge’Inn
177,Aquin,HT,75.31,scattered clouds,18.2833,-73.4,Asheev Beach
186,Pontianak,ID,78.78,thunderstorm with light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
190,Makakilo City,US,75.52,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
196,Ambilobe,MG,84.92,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
199,Najran,SA,86.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
203,Mayumba,GA,77.09,overcast clouds,-3.432,10.6554,LIKWALE LODGE
206,Hithadhoo,MV,83.16,broken clouds,-0.6,73.0833,Scoop Guest House
222,Beira,MZ,79.02,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
226,Wewak,PG,85.03,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
233,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
237,Ahuimanu,US,76.71,light rain,21.4447,-157.8378,Paradise Bay Resort
241,Omboue,GA,78.03,overcast clouds,-1.5746,9.2618,Hotel Olako
246,Lorengau,PG,83.43,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
250,Bambous Virieux,MU,82.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
261,Moree,AU,77.02,scattered clouds,-29.4667,149.85,Molika Springs Motel
263,Manokwari,ID,83.75,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
265,Komsomolskiy,UZ,81.32,few clouds,40.4272,71.7189,Ikathouse
266,Anloga,GH,81.57,overcast clouds,5.7947,0.8973,Pin Drop Hotel
268,Dzidzantun,MX,76.55,few clouds,21.25,-89.05,Hacienda San Francisco Tzacalha
276,Puerto Carreno,CO,76.21,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
284,Kyaikkami,MM,85.71,few clouds,16.08,97.5675,St. joseph catholic church
291,Bengkulu,ID,85.35,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
293,Vaitape,PF,82.24,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
294,Thanh Hoa,VN,86.0,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
298,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
301,Lindi,TZ,79.66,light rain,-10.0,39.7167,Lindi paradise house
304,Pala,TD,82.18,broken clouds,9.3642,14.9046,Nectar Hôtel de Pala
307,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
309,Nanakuli,US,76.95,clear sky,21.3906,-158.1547,Camp Pālehua
310,Grand Gaube,MU,82.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
314,Marawi,PH,78.58,overcast clouds,7.9986,124.2928,Derogongan Residence
315,Katobu,ID,88.52,overcast clouds,-4.9408,122.5276,La Ode Husein
320,Pangai,TO,80.71,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
322,Kuching,MY,87.22,thunderstorm,1.55,110.3333,Hilton Kuching
323,Vao,NC,77.49,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
327,Sinjai,ID,86.61,broken clouds,-5.1241,120.253,Wisma Sandika
328,Kailua,US,76.98,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
330,Port Augusta,AU,88.52,clear sky,-32.5,137.7667,Majestic Oasis Apartments
336,Awjilah,LY,79.23,overcast clouds,29.1081,21.2869,المنزل
340,Cocobeach,GA,79.07,overcast clouds,1.0002,9.5823,Hotel Esperance
